,,,,,,,,,,,,,,,,
,New ONS Code,Old ONS Code,Local Authority,Region,"2017 Rough Sleeping Rate per 1,000 households",RS-Female,RS-Male,RS-Unknown,RS-Under 18,RS-18-25,RS-Over 25,RS-Unknown,RS-UK,RS-EU,RS-non-EU,RS-Unknown
,E07000081,23UE,Gloucester,SW,0.28,1,14,0,0,0,15,0,8,7,0,0
,E07000088,24UF,Gosport,SE,0.24,2,7,0,0,1,8,0,9,0,0,0
,E07000109,29UG,Gravesham,SE,0.21,1,8,0,0,0,9,0,5,2,2,0
,E07000145,33UD,Great Yarmouth,EE,0.07,0,3,0,0,0,3,0,2,1,0,0
,E09000011,00AL,Greenwich,L,0.07,1,7,0,0,0,7,1,3,0,4,1
,E07000209,43UD,Guildford,SE,0.23,0,13,0,0,1,12,0,11,1,1,0
,E09000012,00AM,Hackney,L,0.16,2,15,1,0,0,17,1,7,6,3,2
,E06000006,00ET,Halton,NW,0.07,2,2,0,0,1,3,0,4,0,0,0
,E07000164,36UC,Hambleton,YH,0.00,0,0,0,0,0,0,0,0,0,0,0
,E09000013,00AN,Hammersmith and Fulham,L,0.06,0,5,0,0,0,4,1,2,1,1,1
,E07000131,31UD,Harborough,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E09000014,00AP,Haringey,L,0.40,2,35,6,0,2,16,25,5,9,6,23
,E07000073,22UJ,Harlow,EE,0.67,2,22,0,0,2,22,0,22,2,0,0
,E07000165,36UD,Harrogate,YH,0.09,0,6,0,0,1,5,0,6,0,0,0
,E09000015,00AQ,Harrow,L,0.12,2,8,0,0,1,9,0,5,5,0,0
,E07000089,24UG,Hart,SE,0.03,0,1,0,0,0,1,0,1,0,0,0
,E06000001,00EB,Hartlepool,NE,0.10,0,4,0,0,0,4,0,4,0,0,0
,E07000062,21UD,Hastings,SE,0.94,10,30,0,0,1,36,3,36,4,0,0
,E07000090,24UH,Havant,SE,0.19,2,8,0,0,4,6,0,10,0,0,0
,E09000016,00AR,Havering,L,0.21,4,18,0,0,0,19,3,19,1,0,2
,E06000019,00GA,"Herefordshire, County of",WM,0.13,0,11,0,0,0,11,0,10,1,0,0
,E07000098,26UE,Hertsmere,EE,0.15,0,6,0,0,0,3,3,5,1,0,0
,E07000037,17UH,High Peak,EM,0.07,0,3,0,0,0,3,0,1,0,0,2
,E09000017,00AS,Hillingdon,L,0.33,7,29,0,1,21,13,1,15,4,7,10
,E07000132,31UE,Hinckley and Bosworth,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000227,45UF,Horsham,SE,0.12,1,6,0,0,0,7,0,6,0,1,0
,E09000018,00AT,Hounslow,L,0.22,1,21,0,0,0,20,2,6,13,0,3
,E07000011,12UE,Huntingdonshire,EE,0.05,0,4,0,0,3,1,0,4,0,0,0
,E07000120,30UG,Hyndburn,NW,0.17,0,6,0,0,0,6,0,6,0,0,0
,E07000202,42UD,Ipswich,EE,0.35,2,19,0,0,1,19,1,16,5,0,0
,E06000046,00MW,Isle of Wight,SE,0.14,0,9,0,0,1,8,0,9,0,0,0
,E06000053,00HF,Isles of Scilly,SW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E09000019,00AU,Islington,L,0.26,5,18,4,0,0,25,2,10,11,0,6
,E09000020,00AW,Kensington and Chelsea,L,0.26,4,16,0,0,0,18,2,13,4,1,2
,E07000153,34UE,Kettering,EM,0.33,4,10,0,0,1,13,0,12,2,0,0
,E07000146,33UE,King's Lynn and West Norfolk,EE,0.14,4,5,0,0,1,8,0,8,1,0,0
,E06000010,00FA,"Kingston upon Hull, City of",YH,0.25,4,24,0,0,2,26,0,25,3,0,0
,E09000021,00AX,Kingston upon Thames,L,0.40,6,21,0,0,0,16,11,11,7,1,8
,E08000034,00CZ,Kirklees,YH,0.04,1,7,0,0,1,7,0,8,0,0,0
,E08000011,00BX,Knowsley,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E09000022,00AY,Lambeth,L,0.25,6,25,3,0,1,18,15,12,17,3,2
,E07000121,30UH,Lancaster,NW,0.07,0,4,0,0,2,2,0,3,1,0,0
,E08000035,00DA,Leeds,YH,0.08,5,23,0,0,1,25,2,26,0,1,1
,E06000016,00FN,Leicester,EM,0.25,3,21,7,0,5,19,7,19,5,0,7
,E07000063,21UF,Lewes,SE,0.02,0,1,0,0,0,1,0,1,0,0,0
,E09000023,00AZ,Lewisham,L,0.17,4,18,0,0,2,20,0,13,8,0,1
,E07000194,41UD,Lichfield,WM,0.07,0,3,0,0,0,3,0,3,0,0,0
,E07000138,32UD,Lincoln,EM,0.68,4,24,0,0,2,25,1,23,4,0,1
,E08000012,00BY,Liverpool,NW,0.15,1,32,0,0,1,32,0,25,8,0,0
,E06000032,00KA,Luton,EE,1.11,11,76,0,0,6,81,0,32,52,3,0
,E07000110,29UH,Maidstone,SE,0.60,4,37,0,0,4,34,3,36,5,0,0
,E07000074,22UK,Maldon,EE,0.04,0,1,0,0,0,0,1,1,0,0,0
,E07000235,47UC,Malvern Hills,WM,0.03,0,1,0,0,0,1,0,1,0,0,0
,E08000003,00BN,Manchester,NW,0.44,14,80,0,0,5,89,0,91,2,1,0
,E07000174,37UF,Mansfield,EM,0.32,3,12,0,0,2,11,2,14,1,0,0
,E06000035,00LC,Medway,SE,0.39,11,33,0,0,5,35,4,32,5,0,7
,E07000133,31UG,Melton,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000187,40UB,Mendip,SW,0.39,0,19,0,0,1,14,4,19,0,0,0
,E09000024,00BA,Merton,L,0.06,1,4,0,0,0,5,0,2,3,0,0
,E07000042,18UD,Mid Devon,SW,0.09,0,3,0,0,2,1,0,3,0,0,0
,E07000203,42UE,Mid Suffolk,EE,0.05,1,1,0,0,0,2,0,2,0,0,0
,E07000228,45UG,Mid Sussex,SE,0.13,3,5,0,0,2,6,0,7,1,0,0
,E06000002,00EC,Middlesbrough,NE,0.10,0,6,0,0,0,6,0,5,0,1,0
,E06000042,00MG,Milton Keynes,SE,0.46,4,44,0,0,16,32,0,39,8,1,0
,E07000210,43UE,Mole Valley,SE,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000091,24UJ,New Forest,SE,0.09,0,7,0,0,2,5,0,7,0,0,0
,E07000175,37UG,Newark and Sherwood,EM,0.08,0,4,0,0,0,4,0,3,1,0,0
,E08000021,00CJ,Newcastle upon Tyne,NE,0.08,2,8,0,0,1,9,0,9,0,0,1
,E07000195,41UE,Newcastle-under-Lyme,WM,0.09,1,4,0,0,2,3,0,5,0,0,0
,E09000025,00BB,Newham,L,0.68,8,67,1,0,2,28,46,16,12,2,46
,E07000043,18UE,North Devon,SW,0.49,1,19,0,0,0,20,0,20,0,0,0
,E07000050,19UE,North Dorset,SW,0.10,0,3,0,0,0,3,0,2,0,0,1
,E07000038,17UJ,North East Derbyshire,EM,0.07,0,3,0,0,2,1,0,3,0,0,0
,E06000012,00FC,North East Lincolnshire,YH,0.31,2,20,0,0,4,18,0,22,0,0,0
,E07000099,26UF,North Hertfordshire,EE,0.09,0,5,0,0,0,5,0,5,0,0,0
,E07000139,32UE,North Kesteven,EM,0.02,0,1,0,0,1,0,0,1,0,0,0
,E06000013,00FD,North Lincolnshire,YH,0.19,2,12,0,0,0,14,0,14,0,0,0
,E07000147,33UF,North Norfolk,EE,0.11,2,3,0,0,0,5,0,5,0,0,0
,E06000024,00HC,North Somerset,SW,0.07,1,6,0,0,0,7,0,7,0,0,0
,E08000022,00CK,North Tyneside,NE,0.02,0,2,0,0,1,1,0,2,0,0,0
,E07000218,44UB,North Warwickshire,WM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000134,31UH,North West Leicestershire,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000154,34UF,Northampton,EM,0.14,3,10,0,0,0,13,0,10,0,1,2
,E06000057,00EM,Northumberland,NE,0.01,0,2,0,0,0,2,0,2,0,0,0
,E07000148,33UG,Norwich,EE,0.48,4,25,1,0,2,24,4,24,3,0,3
