Exec,Control, Con   ,Labour ,LibDem ,UKIP ,Green ,Others ,ONS code,Region,Unnamed: 3,"Number of households (2014-based household interim projections for 2017)1
(000s) ",White,Black or Black British,Asian or Asian British,Mixed,Other ethnic origin,Ethnic Group not Stated,Total_x,"Number per 1,000 households","Eligible, homeless and in priority need, but intentionally","Eligible, homeless but not in priority need","Eligible, but not homeless",Total decisions,Bed and breakfast (including shared annexe),Hostels,LA/HA stock,Private sector leased (by LA or HA),Other types (including private landlord),Total in temporary accommodation,"Number per 1,000 households.1",Duty owed but no accommodation has been secured at end of March 2018,Unemployment,Unemployment rate (%),Area Code,Total_y,Attendance Allowance,Bereavement Benefit/Widow's Benefit,Carer's Allowance,Unnamed: 6,Unnamed: 7,Disability Living Allowance,of which children,of which working age,of which pensioners,Discretionary Housing Payments,Employment And Support Allowance,Housing Benefit,Incapacity Benefit,Income Support,Unnamed: 17,of which incapacity benefits,of which Lone Parent,of which Carer,of which Others,Unnamed: 22,Jobseeker's Allowance,Unnamed: 24,Unnamed: 25,Pension Credit,Personal Independence Payment,Unnamed: 28,Unnamed: 29,Severe Disablement Allowance,of which working age.1,of which pensioners.1,State Pension,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Winter Fuel Payments
LC,Con (minority),18,9,,10,,5,E07000066,EE,,77.874,167,21,7,7,--,--,202.0,2.59,54,17,26,299,--,39,365,--,--,404,5.19,--,4000.0,4.34338238,E07000066,458.09664072036423,15.771750198613969,1.2767583153863733,8.830446994591105,,,26.92076118253289,7.599949845496221,9.827424371875336,9.487589447553257,0.550936,40.12793807219804,59.778483,0.0,7.639421092934386,,0.019506946793587186,5.402336399303652,1.9130827582041836,0.3168953186327466,,4.004438087216795,,,13.897562407529854,20.555459673279103,,,0.3402803829931522,0.04518335370451832,0.2950970292886339,252.86916688189504,,,,,,,5.533238431193594
LC,Con,32,20,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E07000084,SE,,74.485,74,6,--,--,--,--,81.0,1.09,53,41,34,209,5,--,87,--,14,111,1.49,--,2600.0,2.49677478,E07000084,376.3062028597345,10.345386393166427,1.2889232504213834,4.776613876490443,,,16.9300911060662,5.125257370907776,7.398530734903308,4.43898433030731,0.42931,24.505903992198125,45.696025,0.0,3.6144121969701373,,0.030087091421746606,2.5261202575624915,0.8753010008953414,0.20227466428321214,,2.8089340818209445,,,8.163533883019596,14.411867974787407,,,0.1758611308926348,0.01129583842612958,0.16456529246650523,238.0953814406993,,,,,,,5.063958533201902
LC,Lab,12,33,,,,3,E07000171,EM,,49.637,75,--,--,--,--,--,77.0,1.55,16,10,49,152,--,--,--,--,--,6,0.12,8,2200.0,3.92596064,E07000171,323.4685108837426,10.72374830352843,1.110960491242413,5.61609908227985,,,22.307865044800163,3.696857983155616,7.69947179504129,10.901132396752192,0.200545,29.160188807881543,26.184203,0.0,3.759809957643976,,0.03826472278374909,2.293216183106092,1.2482059797665748,0.16882775710095482,,2.694116443452429,,,8.118095800997985,16.912680956061084,,,0.26790508727707785,0.03388751527838874,0.23401757199868908,192.2418536874276,,,,,,,4.170439221150047
LC,Con,37,6,16,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E06000022,SW,,76.788,66,--,--,--,5,7,84.0,1.09,12,6,19,121,12,15,--,--,--,31,0.4,8,3700.0,3.6688168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E06000022,418.45731304386874,14.998362868135066,1.3641714514415555,4.731355133594794,,,19.07931830721009,4.94389197937268,8.07782662507883,6.067074964554812,0.289072,25.41640272040531,38.888855,0.0,2.2834692765906137,,0.02352717014181346,1.5174671812681053,0.6678401940400658,0.06303491721178023,,0.70895764059409,,,9.973899027200506,16.126086104148683,,,0.2346563875057381,0.04518335370451832,0.1894730338012198,278.1956562096592,,,,,,,6.1670509173830546
MC,LD + Lab,15,14,9,,,2,E06000055,EE,,70.142,131,17,34,17,14,11,224.0,3.19,45,24,86,379,30,--,--,83,18,132,1.88,50,3900.0,4.2651400399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E06000055,393.43080598027905,12.106257005782014,1.3890187340111335,6.1246391516236915,,,19.642488671052906,5.312867718809414,7.990625267054622,6.348575536111496,0.532766,30.30743210772195,49.164898,0.018160125338525453,4.346999772652513,,0.022488486245506825,3.049853429753463,1.1033626555249378,0.15280158944751154,,3.9760307129073698,,,10.831585051707286,18.91758573738656,,,0.2109034213191981,0.04518335370451832,0.16572006761467978,230.8201038573632,,,,,,,5.041937631412763
LC,Con,45,15,,3,,,E09000004,L,,99.16,313,136,17,--,20,--,500.0,5.04,122,65,44,731,124,--,--,402,690,1234,12.44,--,5100.0,3.9684321799999998,E09000004,579.4447309606422,19.9516885733151,1.6535515287164158,9.688821879167728,,,32.76801129967978,8.210341301453392,13.426504971660565,11.140088549714196,0.648198,41.547973475566465,92.435098,0.05337745903294277,8.692651076127124,,0.06003254413036049,6.359714034842729,1.9790072593500467,0.33558043420256095,,5.50859775561788,,,15.404755539395232,23.217680006375936,,,0.36001850905888577,0.05629016771382289,0.3037283413450629,320.3354439413116,,,,,,,7.178863917277251
